scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
blush,32,-100,-28,26,-30
cocktail_kit,-100,6,47,30,-23
cutting_board,8,67,14,-96,-100
hot_glue_sticks,85,40,-100,-15,52
hotel,-100,70,26,2,-54
ice_cream,25,-12,35,50,-100
inversion_table,100,26,3,8,-1
knee_pads,45,1,33,-100,-5
loose_leaf_tea,-100,80,82,-51,-36
luggage_tag,85,43,100,-71,11
milk_storage_bags,100,84,1,25,-10
olive_pitter,-52,-86,-33,0,100
painters_tape,-100,-12,92,-26,18
reusable_bag,24,-3,-38,-11,100
rfid_wallet,-36,42,100,79,10
scrunchie,-1,100,5,48,18
security_camera,0,-17,100,-4,9
shower_curtain,67,-100,63,64,48
shuffleboard_table,-14,-31,-100,73,84
wood_burner,-64,-97,-100,-10,-62
