scenario,b_attr1,b_attr2,b_attr3,b_attr4,b_attr5
adapter,11,24,7,-74,-100
alcohol_markers,67,100,-10,56,11
amusement_park,-35,-46,-65,100,72
antenna,-36,100,57,72,-49
arrows,-93,-35,-70,100,-15
balance_board,100,-78,24,17,-15
blush,20,-100,83,-33,29
boxing_gloves,33,1,43,100,64
bracelet,100,1,0,25,6
central_vacuum,5,-100,-7,10,6
cherry_pitter,12,-100,31,-71,-28
citrus_juicer,45,10,7,100,59
cocktail_kit,-100,-8,-17,14,-59
console,-90,60,-100,-66,45
convertible,-100,-28,34,-92,21
crochet_hook,100,19,16,-9,-2
cutting_board,38,100,38,33,8
diaper_bag,30,-10,8,-100,26
dominoes,100,24,-14,26,13
dry_bag,100,80,-58,2,18
dslr_camera,38,100,55,27,-14
easel,100,13,-6,-10,5
ecg_monitor,-83,-100,-21,45,21
electric_grill,100,54,-60,28,12
fabric_markers,29,4,100,-26,-31
fins,-100,-39,4,26,-24
garment_steamer,100,-42,100,16,55
gas_can,76,100,37,-38,-19
golf_cart,100,24,37,1,-5
hair_dryer,-21,30,-60,-100,-5
ham,-50,-45,-100,11,-5
hoe,70,1,94,-100,17
hoodie,100,29,2,23,2
hot_glue_sticks,55,100,-82,-9,22
hotel,-100,97,62,-57,-7
house,100,20,-63,-30,12
ice_cream,69,33,20,100,-91
ink_cartridge,100,50,-30,-4,1
inversion_table,100,25,7,5,-1
jewelry_kit,-14,10,9,23,100
knee_pads,100,-2,6,-41,22
lint_roller,53,100,83,21,58
lip_scrub,-23,100,-5,9,-26
loan,-100,-88,10,-3,-16
loose_leaf_tea,100,-31,7,23,95
luggage_tag,100,19,14,20,26
magnetic_calendar,-16,78,100,15,49
microwave_cover,71,12,-38,100,28
milk_storage_bags,22,100,7,7,-9
mixer,39,16,-6,-5,-100
mold_test,-24,-100,57,5,7
nail_file,-64,-18,-33,21,100
necklace_stand,40,84,100,40,29
night_light,-100,13,-29,-3,1
olive_pitter,30,52,19,-76,100
outdoor_tv_cover,100,5,13,-6,16
oven,100,38,-20,3,-20
painters_tape,-100,44,28,53,14
paper_towel,100,79,61,16,14
pasta_maker,100,40,-10,68,-77
pattern_weights,-100,34,33,-41,53
pilates_ring,-1,-100,22,53,-5
popcorn,67,100,-82,-71,-48
porch_swing,-100,24,-28,7,9
pressure_cooker,100,14,-32,15,-1
rabbit,-36,-17,-49,-100,-35
recliner,20,90,100,66,36
reusable_bag,81,-100,-16,37,73
rfid_wallet,-1,-46,100,-79,29
safety_pins,100,6,18,6,20
salmon,40,34,100,-45,31
sawhorse,-11,11,-84,48,-100
scrunchie,100,100,-34,32,68
security_camera,82,65,100,34,44
sewing_machine,100,18,20,-12,-1
shower_curtain,100,-92,37,19,-4
shuffleboard_table,-23,34,-100,74,69
sippy_cup,100,19,-3,12,14
sleep_sack,61,99,-10,100,-18
sleeping_bag,100,-46,16,2,15
snow_blower,85,46,-24,82,-100
snow_brush,100,10,-6,9,51
soccer_ball,100,70,35,51,34
soil,28,-10,-4,36,100
sparkling_water,100,6,-25,28,-44
sponges,100,37,20,59,-11
stability_ball,100,25,20,17,18
stapler,-41,-97,100,-5,8
stockings,14,33,100,4,6
stopwatch,77,46,100,87,-9
tamper,60,-21,-25,-47,100
tea,100,-8,-3,4,7
tongs,100,-1,21,-59,91
travel_wallet,67,24,37,100,-87
washi_tape,100,48,32,-12,35
washing_machine,100,12,-44,-66,-47
wheelbarrow,2,27,-10,72,100
windshield_cover,100,21,16,-27,-13
wood_burner,61,-100,-16,19,-27
wood_glue,-45,-100,15,5,-5
